requirement_id,modul_id,section,type,name,status,file,line,snippet,confidence,recommendation,severity,time
bullet-10-E:\sigap-malut\dokumenSistem\13-System-Architecture-Document.md,E:\sigap-malut\dokumenSistem\13-System-Architecture-Document.md,,bullet,"Data Layer: PostgreSQL, Sequelize, Master Data CSV/JSON",OK,backend/models/validator.js,10,"// Validasi: Data Layer: PostgreSQL, Sequelize, Master Data CSV/JSON (indent: 1)",0.7,"Sudah ada implementasi bullet Data Layer: PostgreSQL, Sequelize, Master Data CSV/JSON",info,2026-03-17T15:57:39.854Z
bullet-11-E:\sigap-malut\dokumenSistem\13-System-Architecture-Document.md,E:\sigap-malut\dokumenSistem\13-System-Architecture-Document.md,,bullet,"API RESTful, OpenAPI Spec, WebSocket (real-time dashboard)",OK,backend/models/validator.js,10,"// Validasi: API RESTful, OpenAPI Spec, WebSocket (real-time dashboard) (indent: 1)",0.7,"Sudah ada implementasi bullet API RESTful, OpenAPI Spec, WebSocket (real-time dashboard)",info,2026-03-17T15:57:39.854Z
bullet-12-E:\sigap-malut\dokumenSistem\13-System-Architecture-Document.md,E:\sigap-malut\dokumenSistem\13-System-Architecture-Document.md,,bullet,"Integrasi master data: lookup, referensi id, tidak ada input manual",OK,backend/models/validator.js,10,"// Validasi: Integrasi master data: lookup, referensi id, tidak ada input manual (indent: 1)",0.7,"Sudah ada implementasi bullet Integrasi master data: lookup, referensi id, tidak ada input manual",info,2026-03-17T15:57:39.854Z
bullet-13-E:\sigap-malut\dokumenSistem\13-System-Architecture-Document.md,E:\sigap-malut\dokumenSistem\13-System-Architecture-Document.md,,bullet,Centralized RBAC (role-module-matrix),OK,backend/models/validator.js,10,// Validasi: Centralized RBAC (role-module-matrix) (indent: 1),0.7,Sudah ada implementasi bullet Centralized RBAC (role-module-matrix),info,2026-03-17T15:57:39.854Z
bullet-14-E:\sigap-malut\dokumenSistem\13-System-Architecture-Document.md,E:\sigap-malut\dokumenSistem\13-System-Architecture-Document.md,,bullet,JWT authentication,OK,backend/models/validator.js,10,// Validasi: JWT authentication (indent: 1),0.7,Sudah ada implementasi bullet JWT authentication,info,2026-03-17T15:57:39.854Z
bullet-15-E:\sigap-malut\dokumenSistem\13-System-Architecture-Document.md,E:\sigap-malut\dokumenSistem\13-System-Architecture-Document.md,,bullet,Permission check per endpoint dan UI,OK,backend/models/validator.js,10,// Validasi: Permission check per endpoint dan UI (indent: 1),0.7,Sudah ada implementasi bullet Permission check per endpoint dan UI,info,2026-03-17T15:57:39.854Z
bullet-16-E:\sigap-malut\dokumenSistem\13-System-Architecture-Document.md,E:\sigap-malut\dokumenSistem\13-System-Architecture-Document.md,,bullet,"Audit trail: approval_log, semua aksi tercatat",OK,backend/models/validator.js,10,"// Validasi: Audit trail: approval_log, semua aksi tercatat (indent: 1)",0.7,"Sudah ada implementasi bullet Audit trail: approval_log, semua aksi tercatat",info,2026-03-17T15:57:39.854Z
bullet-17-E:\sigap-malut\dokumenSistem\13-System-Architecture-Document.md,E:\sigap-malut\dokumenSistem\13-System-Architecture-Document.md,,bullet,"Monitoring: dashboard compliance, alert, SLA",OK,backend/models/validator.js,10,"// Validasi: Monitoring: dashboard compliance, alert, SLA (indent: 1)",0.7,"Sudah ada implementasi bullet Monitoring: dashboard compliance, alert, SLA",info,2026-03-17T15:57:39.854Z
bullet-18-E:\sigap-malut\dokumenSistem\13-System-Architecture-Document.md,E:\sigap-malut\dokumenSistem\13-System-Architecture-Document.md,,bullet,Enkripsi data sensitif,OK,backend/models/validator.js,10,// Validasi: Enkripsi data sensitif (indent: 1),0.7,Sudah ada implementasi bullet Enkripsi data sensitif,info,2026-03-17T15:57:39.854Z
bullet-19-E:\sigap-malut\dokumenSistem\13-System-Architecture-Document.md,E:\sigap-malut\dokumenSistem\13-System-Architecture-Document.md,,bullet,"Proteksi endpoint (rate limit, CORS)",OK,backend/models/validator.js,10,"// Validasi: Proteksi endpoint (rate limit, CORS) (indent: 1)",0.7,"Sudah ada implementasi bullet Proteksi endpoint (rate limit, CORS)",info,2026-03-17T15:57:39.854Z
bullet-20-E:\sigap-malut\dokumenSistem\13-System-Architecture-Document.md,E:\sigap-malut\dokumenSistem\13-System-Architecture-Document.md,,bullet,Logging akses dan perubahan data,OK,backend/models/validator.js,10,// Validasi: Logging akses dan perubahan data (indent: 1),0.7,Sudah ada implementasi bullet Logging akses dan perubahan data,info,2026-03-17T15:57:39.854Z
bullet-21-E:\sigap-malut\dokumenSistem\13-System-Architecture-Document.md,E:\sigap-malut\dokumenSistem\13-System-Architecture-Document.md,,bullet,"Identifikasi risiko: data loss, unauthorized access, SLA breach",OK,backend/models/validator.js,10,"// Validasi: Identifikasi risiko: data loss, unauthorized access, SLA breach (indent: 1)",0.7,"Sudah ada implementasi bullet Identifikasi risiko: data loss, unauthorized access, SLA breach",info,2026-03-17T15:57:39.854Z
bullet-22-E:\sigap-malut\dokumenSistem\13-System-Architecture-Document.md,E:\sigap-malut\dokumenSistem\13-System-Architecture-Document.md,,bullet,"Kontrol: backup periodik, validasi input, monitoring SLA",OK,backend/models/validator.js,10,"// Validasi: Kontrol: backup periodik, validasi input, monitoring SLA (indent: 1)",0.7,"Sudah ada implementasi bullet Kontrol: backup periodik, validasi input, monitoring SLA",info,2026-03-17T15:57:39.854Z
